reviewer,comment_number,reviewer_request,implementation_requirement,analysis_requirement,manuscript_requirement,status,raw_evidence_path,summary_evidence_path,generated_table_or_figure,remaining_limitation,blocking_or_nonblocking
Reviewer 2,R2-1,DLT necessity versus alternatives,No code requirement,Verify TUF Uptane and transparency-log comparison,Explain DLT-specific governance value,PARTIAL,,,paper_assets/reviewer_revision/tables/comparative_novelty.tex,"TUF, Uptane, and transparency-log comparison requires manual primary-source verification.",blocking
Reviewer 2,R2-2,Aggregator trust and omission mitigation,Implement expected cohort and witness,Test omission and collusion boundary,Explain residual trust,PASS,results/reviewer_revision/raw/independent_witness/,results/reviewer_revision/csv/independent_witness_tests.csv,,Separate journals and complete terminal roots are tested; common omission or collusion remains a stated trust boundary.,blocking
Reviewer 2,R2-3,Consistent evidence qualification,Evidence types on outputs,Claim/output validation,Use controlled evidence vocabulary,PASS,results/reviewer_revision/raw/,results/reviewer_revision/validation/validation_report.json,,Controlled evidence vocabulary is enforced for the reviewer package.,blocking
Reviewer 2,R2-4,Block-period and gas reporting,Capture blocks receipts and gas,Block sensitivity and gas summaries,Report configuration and distributions,PASS,results/reviewer_revision/raw/besu_v2_final/,results/reviewer_revision/statistics/gas_summary_final.csv,,Results are final-ABI local submission-to-receipt and gas observations.,blocking
Reviewer 2,R2-5,Representative centralized baseline,Strengthen semantic equivalence,Matched-operation comparison,Explain asymmetries,PASS,results/reviewer_revision/raw/baseline/,results/reviewer_revision/validation/baseline_equivalence_matrix.csv,,Consensus-specific properties are intentionally absent from SQLite.,blocking
Reviewer 2,R2-6,Statistical and reproducibility configuration,Freeze protocol and seeds,Robust statistics and exclusions,Report exact configuration,PASS,,results/reviewer_revision/validation/statistical_protocol.json,,"The one-command full path requires Docker, native Besu, Foundry, and local runtime.",blocking
Reviewer 2,R2-7,Property and invariant governance validation,Add fuzz invariant replay and race tests,Property-level results,Bound claims to tested invariants,PASS,results/reviewer_revision/raw/concurrency/,results/reviewer_revision/validation/concurrency_status.json,,Claims are bounded to tested properties and race families.,blocking
Reviewer 2,R2-8,Figure and table consistency,Generate from validated data,Metadata and reference validation,Align terms captions and evidence,PARTIAL,,results/reviewer_revision/validation/claim_registry.yaml,paper_assets/figures/,Final manuscript figure/table numbering and placement remain pending.,blocking
Reviewer 2,R2-9,Canonical receipt-size definition,Define signed encoding,Validate measured encoded size,Report per-receipt versus set bytes,PASS,results/reviewer_revision/raw/fleet/,results/reviewer_revision/statistics/receipt_size.csv,,Sizes use canonical compact JSON and include the 65-byte signature.,blocking
Reviewer 2,R2-10,Author Contributions checklist,No code requirement,Completion validation,Populate verified contribution roles,BLOCKED,,,,Author contribution data was not provided.,nonblocking
